,class,section,day_times,room,instructor
0,11168,06-LAB Regular,Mo 2:30PM - 5:30PM,STL 115,Ana I Medrano
1,11170,08-LAB Regular,Mo 5:30PM - 8:30PM,STL 117,Ana I Medrano
2,11171,09-LAB Regular,Mo 5:30PM - 8:30PM,STL 115,Ana I Medrano
3,12284,23-LAB Regular,We 8:30AM - 11:30AM,STL 117,Ana I Medrano
4,12285,24-LAB Regular,We 8:30AM - 11:30AM,STL 121,Ana I Medrano
5,12313,29-LAB Regular,We 2:30PM - 5:30PM,STL 117,Ana I Medrano
6,12314,30-LAB Regular,We 2:30PM - 5:30PM,STL 121,Ana I Medrano
7,12317,32-LAB Regular,We 5:30PM - 8:30PM,STL 117,Ana I Medrano
8,12462,33-LAB Regular,We 5:30PM - 8:30PM,STL 121,Ana I Medrano
9,12464,35-LAB Regular,Th 8:30AM - 11:30AM,STL 117,Ana I Medrano
10,12465,36-LAB Regular,Th 8:30AM - 11:30AM,STL 121,Ana I Medrano
11,12496,43-LAB Regular,Th 5:30PM - 8:30PM,STL 115,Ana I Medrano
12,14267,45-LAB Regular,Th 5:30PM - 8:30PM,STL 121,Ana I Medrano
13,12964,47-LAB Regular,Fr 8:30AM - 11:30AM,STL 117,Ana I Medrano
14,12965,48-LAB Regular,Fr 8:30AM - 11:30AM,STL 121,Ana I Medrano
15,24602,01-LEC Regular,Tu 10:00AM - 11:00AM,SEC 206,Monique L Ogletree
16,24603,02-LEC Regular,Fr 10:00AM - 11:00AM,SEC 205,Monique L Ogletree
17,11188,01-LEC Regular,TuTh 2:30PM - 4:00PM,AAA AUD2,Lisa M Farmer
18,11189,02-LEC Regular,MoWe 10:00AM - 11:30AM,AAA AUD1,Ann Oliver Cheek
19,11191,04-LEC Regular,MoWe 2:30PM - 4:00PM,AAA AUD2,Jenifer Gifford
20,12318,05-LEC Regular,TuTh 1:00PM - 2:30PM,AAA AUD2,Ana I Medrano
21,13645,50-LEC Regular,MoWeFr 12:00PM - 1:00PM,TBA,Ann Oliver Cheek
